"ant1","ant2","space","weight","duration","weightHH","durationHH"
1,2,1,40,249.66649222374,18,34.9992740154266
1,3,1,26,48.1663768291473,14,27.666205406189
1,4,1,14,19.1669454574585,5,4.99928522109985
1,5,1,27,135.333198308945,7,9.66678738594055
1,6,1,337,2286.83636379242,121,1163.33488273621
1,7,1,25,60.3348832130432,6,28.6668334007263
1,8,1,217,1301.00264906883,92,818.335316896439
1,8,2,18,24.1660614013672,11,16.5002543926239
1,9,1,55,85.8332469463348,25,42.8335890769958
1,10,1,7,3.99976396560669,3,1.66643285751343
1,11,1,51,135.332705974579,14,20.0004839897156
1,12,1,23,180.00034070015,8,120.834053039551
1,13,1,22,55.9987378120422,6,9.16646337509155
1,14,1,378,1831.83038258553,123,501.160793304443
1,14,2,145,1066.00756239891,62,568.17148900032
1,15,1,81,420.000712633133,35,160.001928091049
1,16,1,11,16.500373840332,3,7.83336400985718
1,17,1,386,2330.6667509079,128,806.830985546112
1,18,1,253,1295.33941555023,113,457.832833528519
1,19,1,21,65.0005264282227,5,16.6663024425507
1,20,1,139,917.837171792984,41,376.834390163422
1,20,2,115,337.83571434021,48,208.335058450699
1,21,1,51,362.167939186096,11,167.00023317337
1,22,1,13,13.1658937931061,5,6.49936676025391
1,22,2,40,80.5009422302246,15,44.6682851314545
1,23,1,87,470.669768810272,47,317.668934583664
1,24,1,235,855.338656425476,101,298.334692716599
1,25,1,27,162.333336830139,7,21.5000705718994
1,26,1,195,2217.17442059517,117,2028.17105269432
1,26,2,67,106.000919103622,39,61.4995822906494
1,27,1,80,327.166920185089,33,184.835129499435
1,28,1,198,1980.67246055603,102,1252.66910672188
1,29,1,824,7168.34856653214,326,3202.50443387032
1,30,1,64,562.832750082016,14,102.334319353104
1,31,1,287,2069.83395266533,138,1114.00440645218
1,32,1,45,175.335105419159,13,28.333395242691
1,33,1,9,8.99965906143188,4,5.49989414215088
1,33,2,16,21.8323633670807,7,2.00002527236938
1,34,1,110,448.500731706619,31,141.498719930649
1,34,2,139,533.005928516388,81,291.170758724213
1,35,1,68,123.332476854324,44,85.9983944892883
1,35,2,120,79.6686174869537,61,50.0035419464111
1,36,1,74,428.004457712173,34,288.668434381485
