"age","colony"
23,1
6,1
6,1
NA,1
23,1
16,1
24,1
34.1,1
8,1
18,1
NA,1
NA,1
9.1,1
6,1
24,1
14,1
20,1
19,1
15,1
6,1
35,1
20,1
24,1
15,1
18,1
NA,1
13,1
10,1
19,1
NA,1
14,1
24,1
21,1
11,1
17,1
15,1
14,1
16,1
NA,1
NA,1
21,1
NA,1
6,1
18,1
6,1
23,1
9,1
12,1
6,1
19,1
24,1
NA,1
NA,1
16,1
32,1
32,1
14,1
13,1
29,1
11,1
14,1
17,1
14,1
22,1
10,1
22,1
14,1
13,1
NA,1
3.1,1
NA,1
18,1
10,1
11,1
18,1
13,1
15,1
19,1
22,1
11,1
NA,1
17,2
7,2
2,2
2,2
4,2
14,2
6,2
20,2
9,2
11,2
8,2
5,2
14,2
25,2
1,2
8,2
19,2
3,2
17,2
9,2
2,2
11,2
4,2
28,2
7,2
13,2
20,2
20,2
5,2
24,2
24,2
19,2
11,2
13,2
10,2
4,2
3,2
6,2
6,2
3,2
5,2
2,2
6,2
5,2
25,2
5,2
7,2
24,2
1,2
6,2
13,2
2,2
24,2
22,2
4,2
15,2
4,2
1,2
3,2
14,2
6,2
10,2
20,2
21,2
26,2
2,2
31,2
5,2
2,2
8,2
29,2
23,2
28,2
15,2
10,2
20,2
1,2
6,2
24,2
32,2
19,2
5,2
2,2
20,2
11,2
2,2
5,2
14,2
1,2
10,2
10,2
13,2
3,2
19,2
3,2
31,2
10,2
28,2
4,2
6,2
5,2
25,2
1,2
10,2
8,2
18,2
11,2
4,2
5,2
4,2
33,2
26,2
14,2
30,2
29,2
28,2
24,2
23,2
NA,2
29,3
12,3
45,3
29,3
12,3
7,3
26,3
11,3
26,3
9,3
34,3
18,3
28,3
13,3
9,3
12,3
14,3
45,3
23,3
13,3
11,3
29,3
12,3
12,3
25,3
33,3
31,3
11,3
29,3
14,3
13,3
27,3
6,3
37,3
14,3
40,3
35,3
29,3
28,3
22,3
29,3
37,3
26,3
29,3
32,3
27,3
14,3
18,3
19,3
19,3
13,3
11,3
14,3
10,3
9,3
3,3
2,3
20,3
15,3
12,3
10,3
13,3
11,3
13,3
7,3
10,3
8,3
10,3
13,3
3,3
7,3
14,3
12,3
14,3
23,3
14,3
13,3
7,3
6,3
13,3
6,3
29,3
6,3
2,3
10,3
4,3
13,3
2,3
17,3
10,3
1,3
11,3
14,3
12,3
22,3
14,3
45,3
29,3
36,3
24,3
29,3
22,3
31,3
20,3
14,3
13,3
37,3
14,3
11,3
11,3
10,3
20,3
12,3
29,3
20,3
17,3
25,3
38,3
19,3
32,3
23,3
15,3
32,3
13,3
28,3
18,3
NA,3
5,4
5,4
6,4
9,4
11,4
30,4
36,4
31,4
14,4
14,4
19,4
9,4
35,4
24,4
46,4
2,4
28,4
9,4
7,4
16,4
8,4
1,4
14,4
3,4
7,4
8,4
21,4
14,4
31,4
11,4
46,4
19,4
25,4
15,4
2,4
16,4
4,4
9,4
9,4
1,4
19,4
25,4
7,4
15,4
10,4
16,4
13,4
16,4
26,4
16,4
31,4
46,4
2,4
28,4
14,4
1,4
10,4
14,4
13,4
26,4
31,4
12,4
19,4
7,4
19,4
15,4
19,4
16,4
3,4
15,4
9,4
13,4
10,4
25,4
11,4
8,4
31,4
28,4
35,4
31,4
46,4
6,4
31,4
6,4
31,4
5,4
13,4
30,4
20,4
26,4
9,4
16,4
5,4
14,4
8,4
7,4
12,4
14,4
30,4
1,4
14,4
10,4
4,4
16,4
3,4
10,4
4,4
10,4
31,4
27,4
31,4
10,4
16,4
14,4
12,4
14,4
30,4
9,4
31,4
1,4
8,4
11,4
7,4
14,4
1,4
24,4
7,4
2,4
11,4
5,4
NA,4
