ant1,ant2,weightHH
4,2,153
5,2,175
6,2,94
7,2,206
9,2,544
14,2,93
15,2,471
19,2,267
27,2,171
28,2,237
29,2,153
32,2,216
35,2,69
40,2,1
42,2,228
43,2,80
44,2,7
49,2,565
50,2,636
52,2,621
53,2,231
54,2,994
59,2,500
62,2,392
63,2,252
65,2,189
68,2,80
70,2,209
71,2,606
80,2,87
82,2,776
99,2,608
102,2,210
113,2,424
114,2,193
115,2,659
118,2,95
124,2,3
126,2,33
127,2,755
131,2,571
135,2,164
137,2,134
139,2,257
140,2,397
144,2,315
147,2,479
149,2,466
153,2,113
156,2,93
159,2,211
161,2,138
169,2,388
170,2,395
173,2,439
192,2,132
196,2,56
202,2,714
207,2,185
209,2,485
210,2,324
212,2,366
215,2,116
218,2,70
219,2,111
220,2,359
221,2,261
226,2,642
227,2,488
229,2,60
232,2,571
237,2,298
238,2,105
242,2,7
243,2,427
244,2,362
245,2,141
250,2,173
255,2,656
257,2,229
260,2,560
262,2,114
263,2,49
264,2,737
265,2,210
268,2,146
278,2,51
308,2,498
311,2,329
324,2,560
326,2,165
329,2,424
342,2,263
347,2,546
353,2,447
356,2,39
376,2,42
380,2,66
390,2,128
391,2,464
394,2,524
397,2,287
437,2,49
458,2,126
462,2,108
475,2,425
476,2,161
482,2,278
518,2,303
534,2,571
540,2,234
556,2,74
560,2,310
564,2,629
575,2,646
576,2,414
580,2,362
592,2,440
593,2,97
599,2,27
600,2,230
604,2,670
610,2,91
614,2,122
620,2,183
632,2,581
635,2,473
638,2,1212
646,2,457
647,2,3
663,2,676
665,2,225
5,4,946
6,4,746
7,4,84
9,4,131
14,4,748
15,4,282
19,4,24
27,4,762
28,4,651
29,4,43
32,4,853
35,4,610
40,4,3
42,4,853
43,4,855
49,4,108
50,4,359
52,4,54
53,4,756
54,4,212
59,4,372
62,4,298
63,4,753
65,4,805
68,4,137
70,4,663
71,4,161
80,4,842
82,4,135
99,4,39
102,4,131
113,4,89
114,4,164
115,4,88
118,4,815
120,4,14
124,4,14
126,4,817
127,4,198
131,4,267
135,4,678
137,4,63
139,4,579
140,4,277
144,4,786
147,4,258
149,4,59
153,4,741
156,4,902
159,4,375
161,4,737
169,4,290
170,4,246
173,4,295
192,4,766
196,4,574
202,4,202
207,4,646
209,4,207
210,4,23
212,4,41
215,4,1022
218,4,675
219,4,939
220,4,97
221,4,638
226,4,66
227,4,241
229,4,797
232,4,169
237,4,377
238,4,795
242,4,12
243,4,306
244,4,567
245,4,632
250,4,723
255,4,88
257,4,651
260,4,196
262,4,724
263,4,629
264,4,208
265,4,25
268,4,683
278,4,806
308,4,175
311,4,21
324,4,321
326,4,829
329,4,547
342,4,117
347,4,62
353,4,145
356,4,664
376,4,631
380,4,776
390,4,392
391,4,149
394,4,121
397,4,123
437,4,582
458,4,697
462,4,684
475,4,408
476,4,605
482,4,296
518,4,561
534,4,306
540,4,750
556,4,834
560,4,59
564,4,137
575,4,143
576,4,286
580,4,426
592,4,38
593,4,800
599,4,15
600,4,689
604,4,255
610,4,993
614,4,935
620,4,812
621,4,6
632,4,161
635,4,38
638,4,382
646,4,408
647,4,18
663,4,211
665,4,862
6,5,665
7,5,105
9,5,128
14,5,574
15,5,277
19,5,48
27,5,866
28,5,556
29,5,18
32,5,725
35,5,492
40,5,1
42,5,649
43,5,716
44,5,1
49,5,135
50,5,413
52,5,78
53,5,907
54,5,315
59,5,283
62,5,407
63,5,623
65,5,617
68,5,180
70,5,651
71,5,128
80,5,604
82,5,151
99,5,71
102,5,60
113,5,109
114,5,142
115,5,102
118,5,607
120,5,4
124,5,11
126,5,507
127,5,312
131,5,369
135,5,693
137,5,30
139,5,696
140,5,309
144,5,733
147,5,246
149,5,149
153,5,720
156,5,669
159,5,300
161,5,563
169,5,172
170,5,268
173,5,282
192,5,608
196,5,613
202,5,190
207,5,513
209,5,255
210,5,17
212,5,55
215,5,1103
218,5,601
219,5,794
220,5,87
221,5,468
226,5,63
227,5,172
229,5,552
232,5,272
237,5,575
238,5,660
242,5,8
243,5,385
244,5,618
245,5,372
250,5,531
255,5,89
257,5,757
260,5,219
262,5,740
263,5,606
264,5,179
265,5,42
268,5,773
278,5,586
308,5,134
311,5,41
324,5,320
326,5,790
329,5,410
342,5,105
347,5,79
353,5,141
356,5,404
376,5,636
380,5,680
390,5,369
391,5,198
394,5,119
397,5,115
437,5,549
458,5,348
462,5,601
475,5,514
476,5,579
482,5,368
518,5,541
534,5,467
540,5,747
556,5,609
560,5,61
564,5,100
575,5,277
576,5,284
580,5,543
592,5,63
593,5,661
599,5,14
600,5,476
604,5,283
610,5,718
614,5,732
620,5,631
621,5,29
632,5,278
635,5,35
638,5,489
646,5,334
647,5,6
663,5,148
665,5,559
7,6,51
9,6,80
14,6,846
15,6,129
19,6,21
27,6,804
28,6,570
29,6,32
32,6,539
35,6,652
40,6,4
42,6,726
43,6,884
44,6,5
49,6,91
50,6,193
52,6,38
53,6,626
54,6,139
59,6,148
62,6,278
63,6,425
65,6,677
68,6,127
70,6,652
71,6,106
80,6,948
82,6,46
99,6,34
102,6,51
113,6,69
