"ant1","ant2","weightHH"
1,2,273
1,3,91
2,3,87
1,4,223
2,4,49
3,4,173
1,5,132
2,5,61
3,5,62
4,5,92
1,6,9
2,6,5
3,6,184
4,6,45
5,6,6
1,7,19
2,7,24
3,7,100
4,7,132
5,7,8
6,7,253
1,8,93
2,8,74
3,8,78
4,8,234
5,8,63
6,8,23
7,8,135
1,9,15
2,9,1
3,9,33
4,9,11
5,9,2
6,9,127
7,9,81
8,9,31
1,10,124
2,10,98
3,10,106
4,10,281
5,10,82
6,10,16
7,10,101
8,10,231
9,10,10
1,11,9
2,11,10
3,11,50
4,11,25
5,11,8
6,11,83
7,11,143
8,11,33
9,11,28
10,11,4
1,13,16
2,13,12
3,13,98
4,13,60
5,13,19
6,13,390
7,13,547
8,13,43
9,13,126
10,13,25
11,13,78
1,14,0
2,14,0
3,14,3
4,14,2
6,14,15
7,14,42
8,14,5
9,14,117
10,14,2
11,14,11
13,14,195
1,15,11
2,15,2
3,15,27
4,15,22
5,15,0
6,15,54
7,15,130
8,15,16
9,15,54
10,15,36
11,15,122
13,15,214
14,15,73
1,16,10
2,16,1
3,16,2
4,16,1
6,16,14
7,16,62
8,16,6
9,16,154
10,16,6
11,16,8
13,16,265
14,16,704
15,16,98
1,17,365
2,17,317
3,17,145
4,17,88
5,17,45
6,17,7
7,17,31
8,17,273
9,17,6
10,17,103
11,17,6
13,17,35
14,17,1
15,17,9
16,17,3
1,18,11
2,18,6
3,18,76
4,18,48
5,18,14
6,18,88
7,18,127
8,18,32
9,18,66
10,18,25
11,18,58
13,18,280
14,18,157
15,18,66
16,18,243
17,18,4
1,19,135
2,19,37
3,19,299
4,19,330
5,19,68
6,19,122
7,19,131
8,19,314
9,19,18
10,19,123
11,19,18
13,19,73
14,19,3
15,19,17
16,19,7
17,19,74
18,19,28
1,20,248
2,20,88
3,20,100
4,20,138
5,20,72
6,20,6
7,20,36
8,20,116
9,20,7
10,20,219
11,20,22
13,20,16
14,20,1
15,20,5
16,20,1
17,20,136
18,20,14
19,20,125
1,21,130
2,21,125
3,21,161
4,21,138
5,21,30
6,21,26
7,21,72
8,21,180
9,21,15
10,21,414
11,21,17
13,21,35
14,21,1
15,21,16
16,21,5
17,21,134
18,21,26
19,21,199
20,21,155
1,22,563
2,22,353
3,22,185
4,22,137
5,22,286
