"Age","Forage","Nurse","Maturity","colony"
17,0.290716816533376,0,0.976901704082036,"A"
7,0,0,0.144062316572318,"A"
2,0,0.484848484848485,0.00934694989687279,"A"
2,0,0.303030303030303,0.0152693795675561,"A"
4,0,0.424242424242424,0.0229455358620598,"A"
14,0,0,0.944676657056979,"A"
6,0,0.287878787878788,0.00692579378534316,"A"
20,0.0502973814091428,0,0.702877103814483,"A"
9,0,0,0.425650345919224,"A"
11,0.032355337606044,0.106060606060606,0.14395053441299,"A"
8,0,0,0.0189356405000955,"A"
5,0,0.575757575757576,0.0109232892614562,"A"
14,0.176599389050381,0,0.95437492480991,"A"
25,0,0,0.832394082890493,"A"
1,0,0.121212121212121,0.0092345421250281,"A"
8,0,0,0.813947263715381,"A"
19,0.00780592795583342,0,0.937903271461715,"A"
3,0,0.0606060606060606,0.036837319137821,"A"
17,0.591472946461719,0,0.999991671917794,"A"
9,0,0.0303030303030303,0.0737055954384991,"A"
2,0,0,0.726093323584328,"A"
11,0,0,0.930966849557327,"A"
4,0,0,0.287704506121553,"A"
28,0.584823077299485,0,0.974219019076995,"A"
7,0,0,0.63883133642456,"A"
13,0,0,0.78631123209729,"A"
20,0,0,0.832814973025388,"A"
20,0,0,0.525772067013078,"A"
5,0,0.106060606060606,0.11939967462388,"A"
24,0.900448995792888,0,0.999999999999759,"A"
24,0.740049097114296,0,0.952175782960403,"A"
19,0.589329131813434,0,0.974346646434424,"A"
11,0.0168880042824666,0,0.787951184056038,"A"
13,0,0,0.528330391790254,"A"
10,0,0.136363636363636,0.226123538192156,"A"
4,0,0.0303030303030303,0.343191058189284,"A"
3,0,0,0.533806799069836,"A"
6,0,0.121212121212121,0.10293655246581,"A"
6,0,1,0.00398004127346679,"A"
3,0,0.515151515151515,0.0314728780667417,"A"
5,0,0.0757575757575758,0.153399284412686,"A"
2,0,0.484848484848485,0.0049599174684949,"A"
6,0,0.939393939393939,0.0029032210673946,"A"
5,0,0.181818181818182,0.00832972661797893,"A"
25,0.733150042452693,0.0151515151515152,0.999999999994149,"A"
5,0.0133842245579758,0.0151515151515152,0.437084245048354,"A"
7,0,0.257575757575758,0.194192053125352,"A"
24,0,0,0.920673605244449,"A"
1,0,0.5,0.0024833161480283,"A"
6,0,0.909090909090909,0.0015905470443034,"A"
13,0,0.0303030303030303,0.434121990259138,"A"
