"maturity","colony"
0.908177738,1
0.0773346,1
0.133687042,1
0.030024413,1
0.885901973,1
0.035931619,1
0.778845286,1
0.972087082,1
0.079780745,1
0.279666353,1
0.206422504,1
0.036274785,1
0.17050063,1
0.026542982,1
0.971632674,1
0.161173532,1
0.879071366,1
0.35684587,1
0.133915413,1
0.017313285,1
0.970346097,1
0.890527196,1
0.940233655,1
0.050070009,1
1.16e-10,1
0.146511186,1
0.331786993,1
0.778850445,1
0.941376107,1
0.129897599,1
0.084816801,1
0.567090279,1
0.109464548,1
0.787554448,1
0.726897605,1
0.156736037,1
0.187911332,1
0.966371549,1
0.036379647,1
0.053665792,1
0.264466838,1
0.482217044,1
0.06474639,1
0.284683352,1
0.123338919,1
0.952534965,1
0.170947942,1
0.081734046,1
2.05e-21,1
0.880460748,1
0.959520178,1
0.22354342,1
6.26e-19,1
0.094766304,1
0.801981564,1
0.845773956,1
0.04018994,1
0.372562504,1
0.872873606,1
0.833462397,1
1.55e-11,1
0.066941529,1
0.234599448,1
0.484045757,1
0.364336151,1
0.724677697,1
0.317311192,1
0.050299957,1
0.943845471,1
0.827529045,1
0.073030018,1
0.306416272,1
0.119185432,1
0.156859367,1
0.900588212,1
0.979036404,1
0.82274856,1
0.645144929,1
0.861148429,1
0.154697844,1
0.976901704082036,2
0.144062316572318,2
0.00934694989687279,2
0.0152693795675561,2
0.0229455358620598,2
0.944676657056979,2
0.00692579378534316,2
0.702877103814483,2
0.425650345919224,2
0.14395053441299,2
0.0189356405000955,2
0.0109232892614562,2
0.95437492480991,2
0.832394082890493,2
0.0092345421250281,2
0.813947263715381,2
0.937903271461715,2
0.036837319137821,2
0.999991671917794,2
0.0737055954384991,2
0.726093323584328,2
0.930966849557327,2
0.287704506121553,2
0.974219019076995,2
0.63883133642456,2
0.78631123209729,2
0.832814973025388,2
0.525772067013078,2
0.11939967462388,2
0.999999999999759,2
0.952175782960403,2
0.974346646434424,2
0.787951184056038,2
0.528330391790254,2
0.226123538192156,2
0.343191058189284,2
0.533806799069836,2
0.10293655246581,2
0.00398004127346679,2
0.0314728780667417,2
0.153399284412686,2
0.0049599174684949,2
0.0029032210673946,2
0.00832972661797893,2
0.999999999994149,2
0.437084245048354,2
0.194192053125352,2
0.920673605244449,2
0.0024833161480283,2
0.0015905470443034,2
0.434121990259138,2
0.0687354294538118,2
1,2
0.973077330822513,2
0.014039470231698,2
0.0971366767940126,2
0.886823550122,2
0.088550044382826,2
0.0101105490420426,2
0.0431917411428591,2
0.00320034791242363,2
0.106746214992529,2
0.999999999998048,2
0.927796357616484,2
0.837077840388114,2
0.0145962941364521,2
0.929404261268299,2
0.00431720162746419,2
0.00542003325038994,2
0.110178111528931,2
0.94403751430601,2
0.999973548740753,2
0.939777333774049,2
0.936019883006108,2
0.118268465036878,2
1,2
0.85921130766275,2
0.912076605600732,2
0.737832699526354,2
0.823474540107058,2
0.947157011185008,2
0.00875112503178048,2
0.045689387880301,2
0.869107734441077,2
0.0594855488661997,2
0.7120237499772,2
0.154493324345018,2
0.985247455980021,2
0.00876072333957257,2
0.0212440070297759,2
0.0946153031597889,2
0.0834565608634416,2
0.0409528546261988,2
0.976752238246669,2
0.00673000354751009,2
0.910590471840269,2
0.145519765191336,2
0.923030557489162,2
0.00610733939531227,2
0.00446568691059844,2
0.0383975957452464,2
0.995014729972171,2
0.849450500201439,2
0.115430805651004,2
0.993215011433712,2
0.903267303598028,2
0.302814825872625,2
0.0311894941361188,2
0.58757084338213,2
0.288460693679008,2
1,2
0.748646728999624,2
0.942513313130378,2
0.999954314040835,2
0.93678581312763,2
0.981557561589028,2
0.999999086389241,2
0.912050670216086,2
0.983515183666985,3
0.113194673359023,3
1,3
0.595129776515705,3
0.0749048767357467,3
0.00657098642385229,3
0.0487386146589728,3
0.0599936199077746,3
0.832970309885277,3
0.0202892065096139,3
0.454171312844412,3
0.323480273617874,3
0.570861885620491,3
0.456184139596232,3
0.0533234145701182,3
0.301267258632605,3
0.617684152491755,3
1,3
0.352274523194076,3
0.17293645297411,3
0.01992755205236,3
0.673631618805248,3
0.00868005721539197,3
0.0594683121556449,3
0.898709270462061,3
0.935046917133654,3
0.999570589572439,3
0.0516935327509074,3
1,3
0.0303494152262674,3
0.0865513303827602,3
0.955237377724757,3
0.026444372531833,3
0.940723503027199,3
0.999999999957796,3
0.826158059117703,3
0.825353893958399,3
0.408080558924684,3
0.941058642037847,3
0.994141878456287,3
0.85274692757694,3
0.938283163103741,3
0.497499168614183,3
0.761212948586942,3
0.886648240731236,3
0.965544481413257,3
0.398638950316768,3
0.0164822643035289,3
0.794804324042259,3
0.497854889119914,3
0.161573639462491,3
0.0115716678559318,3
0.0177729787061001,3
0.124185906802096,3
0.00539237395768909,3
0.00427464646954018,3
0.00456287471499195,3
0.316634320645087,3
0.024183658346688,3
0.220778031812314,3
0.0424257751567752,3
0.0295596564420627,3
0.0833051119257564,3
0.287061614827947,3
0.0473244216817598,3
0.0893977454129854,3
0.109406283215388,3
0.0580057328338075,3
0.0422456430111874,3
0.018657257845331,3
0.532689120050577,3
0.625941228142528,3
0.188206318182615,3
0.0338817509122396,3
0.0392677911087171,3
0.117986671173281,3
0.028040643323837,3
0.00693078110648437,3
0.0186576645662553,3
0.0348875558434317,3
0.0208467072258571,3
0.0620260717771936,3
0.00997434884138832,3
0.0122356141115752,3
0.00946012703659117,3
0.00445489122245506,3
0.0293605855224326,3
0.00284145146927844,3
0.0037765261567295,3
0.00502793848018498,3
0.0104546795684999,3
0.0121131857288635,3
0.0190109707304975,3
0.0160617871423076,3
0.123228220034277,3
0.664073884396135,3
0.96358008861686,3
0.999999999996951,3
0.996982533953277,3
0.996695418876158,3
0.999985688469993,3
0.99242106978685,3
0.805022161155138,3
0.023968198888679,3
0.0635843704173973,3
0.0312740272456613,3
0.957109561577695,3
0.0372494513195919,3
0.350210365998759,3
0.244660698007601,3
0.0397768814562502,3
0.122054734045679,3
0.03147035151091,3
0.674065622706827,3
0.776153559185889,3
0.371541055453822,3
0.588641466772273,3
0.130412431074857,3
0.561768662958775,3
0.890301154684687,3
0.0493638449275253,3
0.0102376421823484,3
0.774306483164419,3
0.125981453261333,3
0.457336197034196,3
0.0239630356423312,3
0.00314884969671296,4
0.00251139310664473,4
0.188600160877365,4
0.0445279619108754,4
0.00514547288634375,4
0.774161844246775,4
0.680707315206206,4
0.07162455545677,4
0.91026354489048,4
