,Sample_ID,Picogreen,SampleType,Negative,Colony,age,cleaning,broodcare,Maturity,foraging,Well
A1,A1,10.76,Experimental,FALSE,A,17,0.027027027,0,0.978381817,0,Plate1_A1
A100,A100,8.3,Experimental,FALSE,A,5,0,0.560606061,0.009701825,0,Plate1_H7
A101,A101,6.94,Experimental,FALSE,A,2,0.108108108,0.333333333,0.047732859,0,Plate1_A8
A102,A102,11.48,Experimental,FALSE,A,20,0.027027027,0,0.873163148,0.076923077,Plate1_B8
A103,A103,4.36,Experimental,FALSE,A,11,0.027027027,0.151515152,0.061870453,0,Plate1_C8
A104,A104,0.02,Experimental,FALSE,A,2,0,0,0.718328119,0,Plate1_D8
A105,A105,0.14,Experimental,FALSE,A,5,0.027027027,0.090909091,0.160868779,0,Plate1_E8
A106,A106,2.99,Experimental,FALSE,A,14,0.054054054,0.015151515,0.990149491,0.384615385,Plate1_F8
A107,A107,7.18,Experimental,FALSE,A,1,0.027027027,0.333333333,0.009587322,0,Plate1_G8
A108,A108,2.13,Experimental,FALSE,A,10,0,0.212121212,0.022533127,0,Plate1_H8
A109,A109,6.88,Experimental,FALSE,A,10,0.108108108,0.060606061,0.098260671,0,Plate1_A9
A111,A111,10.86,Experimental,FALSE,A,13,0.054054054,0,0.086886949,0,Plate1_C9
A112,A112,9.77,Experimental,FALSE,A,3,0.162162162,0.121212121,0.042653331,0,Plate1_D9
A113,A113,1.24,Experimental,FALSE,A,19,0.108108108,0,0.978054414,0.461538462,Plate1_E9
A115,A115,11.81,Experimental,FALSE,A,3,0.027027027,0.727272727,0.007574464,0,Plate1_F9
A116,A116,12.2,Experimental,FALSE,A,31,0.594594595,0,0.915490639,0,Plate1_G9
A117,A117,9.03,Experimental,FALSE,A,10,0.108108108,0.090909091,0.149873124,0,Plate1_A10
A118,A118,10.69,Experimental,FALSE,A,28,0.189189189,0,0.925545428,0,Plate1_B10
A119,A119,7.26,Experimental,FALSE,A,4,0,0.621212121,0.00673037,0,Plate1_C10
A120,A120,10.57,Experimental,FALSE,A,6,0,0.757575758,0.005124064,0,Plate1_D10
A121,A121,9.03,Experimental,FALSE,A,5,0.027027027,0.151515152,0.040240048,0,Plate1_E10
A122,A122,7.08,Experimental,FALSE,A,25,0.135135135,0,0.999996989,0.461538462,Plate1_F10
A124,A124,5.27,Experimental,FALSE,A,10,0.027027027,0.075757576,0.119432577,0,Plate1_G10
A125,A125,9.64,Experimental,FALSE,A,8,0.027027027,0,0.999986092,0.153846154,Plate1_H10
A126,A126,6.67,Experimental,FALSE,A,18,0,0,0.908210126,0,Plate1_A11
A127,A127,11.03,Experimental,FALSE,A,11,0.108108108,0,0.31000911,0,Plate1_B11
A128,A128,12,Experimental,FALSE,A,4,0,0.393939394,0.032275692,0,Plate1_C11
A130,A130,9.11,Experimental,FALSE,A,4,0.189189189,0.015151515,0.297563622,0,Plate1_D11
A132,A132,3.43,Experimental,FALSE,A,33,0.054054054,0,1,0.153846154,Plate1_E11
A133,A133,7.32,Experimental,FALSE,A,26,0.081081081,0,0.753280132,0,Plate1_F11
A134,A134,6.67,Experimental,FALSE,A,14,0.108108108,0,0.945217128,0.307692308,Plate1_G11
A135,A135,3.04,Experimental,FALSE,A,30,0.162162162,0,0.999999999,0.692307692,Plate1_H11
A136,A136,3.95,Experimental,FALSE,A,29,0,0,0.938810767,0,Plate1_A12
A137,A137,3.57,Experimental,FALSE,A,28,0.108108108,0,0.982889485,0,Plate1_B12
A138,A138,8.24,Experimental,FALSE,A,24,0.27027027,0,1,0.923076923,Plate1_C12
A14,A14,5.93,Experimental,FALSE,A,5,0,0.575757576,0.011860375,0,Plate1_H1
A140,A140,13.8,Experimental,FALSE,A,23,0.027027027,0,0.915566403,0,Plate1_D12
A15,A15,0.06,Experimental,FALSE,A,14,0.054054054,0,0.956399027,0,Plate1_A2
A16,A16,11.57,Experimental,FALSE,A,25,0,0,0.83866483,0,Plate1_B2
A17,A17,12.44,Experimental,FALSE,A,1,0,0.121212121,0.009968468,0,Plate1_C2
A19,A19,7.92,Experimental,FALSE,A,8,0.405405405,0,0.820902149,0,Plate1_D2
A2,A2,6.98,Experimental,FALSE,A,7,0.081081081,0,0.153580828,0,Plate1_B1
A20,A20,9.18,Experimental,FALSE,A,19,0,0,0.940868172,0,Plate1_E2
A21,A21,11,Experimental,FALSE,A,3,0.027027027,0.060606061,0.039064485,0,Plate1_F2
A22,A22,12.31,Experimental,FALSE,A,17,0,0,1,0.384615385,Plate1_G2
A23,A23,0.03,Experimental,FALSE,A,9,0.108108108,0.03030303,0.07627198,0,Plate1_H2
A25,A25,3.46,Experimental,FALSE,A,2,0.378378378,0,0.733108201,0,Plate1_B3
A26,A26,5.48,Experimental,FALSE,A,11,0.027027027,0,0.933784379,0,Plate1_C3
A27,A27,8.1,Experimental,FALSE,A,4,0.027027027,0,0.294850155,0,Plate1_D3
A4,A4,10.75,Experimental,FALSE,A,2,0,0.303030303,0.016311594,0,Plate1_C1
A5,A5,7.5,Experimental,FALSE,A,4,0,0.424242424,0.024053491,0,Plate1_D1
A59,A59,8.07,Experimental,FALSE,A,24,0.081081081,0,0.924022406,0,Plate1_E3
A6,A6,3.88,Experimental,FALSE,A,14,1,0,0.947231174,0,Plate1_E1
A60,A60,9.63,Experimental,FALSE,A,1,0,0.5,0.00293485,0,Plate1_F3
A61,A61,8.73,Experimental,FALSE,A,6,0.027027027,0.909090909,0.001900735,0,Plate1_G3
A62,A62,13.83,Experimental,FALSE,A,13,0,0.03030303,0.441052201,0,Plate1_A4
A63,A63,9.82,Experimental,FALSE,A,2,0.027027027,0.03030303,0.071543536,0,Plate1_B4
A64,A64,7.34,Experimental,FALSE,A,24,0.027027027,0,1,0.615384615,Plate1_C4
A65,A65,11.8,Experimental,FALSE,A,22,0.027027027,0,0.975086585,0,Plate1_D4
A66,A66,10.36,Experimental,FALSE,A,4,0.054054054,0.090909091,0.014961368,0,Plate1_E4
A68,A68,0.04,Experimental,FALSE,A,4,0,0,0.89220146,0.230769231,Plate1_F4
A69,A69,12.27,Experimental,FALSE,A,15,0.054054054,0.166666667,0.100134667,0,Plate1_G4
A71,A71,9.95,Experimental,FALSE,A,1,0.324324324,0.03030303,0.095772216,0,Plate1_A5
A73,A73,10.57,Experimental,FALSE,A,3,0.027027027,0.454545455,0.010801808,0,Plate1_B5
A74,A74,0.46,Experimental,FALSE,A,14,0,0.075757576,0.045217049,0,Plate1_C5
A75,A75,10.09,Experimental,FALSE,A,6,0,0.818181818,0.003600406,0,Plate1_D5
A76,A76,4.65,Experimental,FALSE,A,10,0,0.015151515,0.110250559,0,Plate1_E5
A77,A77,9.51,Experimental,FALSE,A,20,0.027027027,0,1,0.615384615,Plate1_F5
A79,A79,10.27,Experimental,FALSE,A,21,0,0,0.930347295,0.076923077,Plate1_G5
A8,A8,3.06,Experimental,FALSE,A,20,0,0,0.709224821,0.076923077,Plate1_F1
A81,A81,4.03,Experimental,FALSE,A,26,0.108108108,0,0.841836497,0,Plate1_H5
A82,A82,11.27,Experimental,FALSE,A,2,0,0.333333333,0.01541127,0,Plate1_A6
A83,A83,11.04,Experimental,FALSE,A,31,0.162162162,0,0.931855029,0,Plate1_B6
A85,A85,9.37,Experimental,FALSE,A,5,0,0.439393939,0.004730666,0,Plate1_C6
A86,A86,11.43,Experimental,FALSE,A,2,0,0.257575758,0.006124776,0,Plate1_D6
A9,A9,1.32,Experimental,FALSE,A,9,0.891891892,0,0.43713329,0,Plate1_G1
A90,A90,11.46,Experimental,FALSE,A,23,0.108108108,0,1,1,Plate1_E6
A91,A91,6.12,Experimental,FALSE,A,28,0,0,0.942503442,0,Plate1_F6
A92,A92,10.79,Experimental,FALSE,A,15,0.135135135,0,0.93931955,0.230769231,Plate1_G6
A93,A93,12.12,Experimental,FALSE,A,10,0.054054054,0.106060606,0.122687912,0,Plate1_A7
A94,A94,5.33,Experimental,FALSE,A,20,0.027027027,0,1,0.846153846,Plate1_B7
A95,A95,0.34,Experimental,FALSE,A,1,0,0,0.861000395,0,Plate1_C7
A96,A96,8.45,Experimental,FALSE,A,6,0.027027027,0,0.915499805,0,Plate1_D7
A97,A97,8.45,Experimental,FALSE,A,24,0.081081081,0,0.746235788,0,Plate1_E7
A98,A98,8.5,Experimental,FALSE,A,32,0.081081081,0,0.827302692,0,Plate1_F7
A99,A99,7.93,Experimental,FALSE,A,19,0.810810811,0,0.949353419,0,Plate1_G7
B10,B10,4.83,Experimental,FALSE,B,26,0,0.02,0.83917324,0,Plate2_B1
B100,B100,7.29,Experimental,FALSE,B,11,0.03125,0.46,0.013505489,0,Plate2_F10
B101,B101,7.6,Experimental,FALSE,B,14,0,0.24,0.020800685,0,Plate2_G10
B103,B103,5.7,Experimental,FALSE,B,22,0.0625,0.02,0.127183735,0,Plate2_H10
B104,B104,2.05,Experimental,FALSE,B,14,0,0,0.670256579,0,Plate2_A11
B105,B105,1.32,Experimental,FALSE,B,45,0,0,0.968615619,0.785714286,Plate2_B11
B106,B106,9.27,Experimental,FALSE,B,29,0,0,1,0.642857143,Plate2_C11
B107,B107,3.75,Experimental,FALSE,B,36,0,0,0.999925111,0.714285714,Plate2_D11
B108,B108,0.76,Experimental,FALSE,B,24,0,0,0.999981138,0.714285714,Plate2_E11
B109,B109,2.57,Experimental,FALSE,B,29,0,0.02,0.999999991,1,Plate2_F11
B11,B11,8.36,Experimental,FALSE,B,9,0,0.28,0.022183389,0,Plate2_C1
B110,B110,6.85,Experimental,FALSE,B,22,0,0,0.996568846,0.714285714,Plate2_G11
B111,B111,1.35,Experimental,FALSE,B,31,0.03125,0,0.810586337,0,Plate2_H11
B112,B112,0.91,Experimental,FALSE,B,20,0.03125,0.56,0.025958767,0,Plate2_A12
B113,B113,10.24,Experimental,FALSE,B,14,0.15625,0.18,0.066771647,0,Plate2_B12
B115,B115,11.66,Experimental,FALSE,B,13,0.03125,0.36,0.032925662,0,Plate2_C12
B116,B116,8.71,Experimental,FALSE,B,37,0.03125,0.02,0.961440269,0.642857143,Plate2_D12
B119,B119,6.45,Experimental,FALSE,B,14,0.03125,0.2,0.039282477,0,Plate2_F12
B12,B12,4.49,Experimental,FALSE,B,34,0,0.04,0.460697203,0,Plate2_D1
B120,B120,3.69,Experimental,FALSE,B,11,0.03125,0.02,0.356518084,0,Plate2_G12
B121,B121,8.78,Experimental,FALSE,B,11,0,0.04,0.249932512,0,Plate3_A1
B122,B122,7.64,Experimental,FALSE,B,10,0.0625,0.02,0.041781556,0,Plate3_B1
B123,B123,8.42,Experimental,FALSE,B,20,0.1875,0.06,0.126001637,0,Plate3_C1
B127,B127,10.57,Experimental,FALSE,B,29,0,0.02,0.680467223,0,Plate3_D1
B13,B13,0.05,Experimental,FALSE,B,18,0,0.02,0.329224364,0,Plate2_E1
B131,B131,5.68,Experimental,FALSE,B,38,0.03125,0.04,0.134646255,0,Plate3_E1
B133,B133,12.5,Experimental,FALSE,B,19,0.03125,0.02,0.56790101,0,Plate3_F1
B134,B134,0.91,Experimental,FALSE,B,32,0,0,0.895012453,0.285714286,Plate3_G1
B14,B14,4.32,Experimental,FALSE,B,28,0,0.06,0.577553656,0,Plate2_F1
B15,B15,0.06,Experimental,FALSE,B,13,0,0.04,0.462896462,0,Plate2_G1
B17,B17,5.74,Experimental,FALSE,B,12,0,0.06,0.306863212,0,Plate2_H1
B18,B18,0.01,Experimental,FALSE,B,14,0,0,0.624281248,0,Plate2_A2
B19,B19,4.22,Experimental,FALSE,B,45,0,0,1,0.5,Plate2_B2
B20,B20,5.63,Experimental,FALSE,B,23,0,0.06,0.358370512,0,Plate2_C2
B22,B22,5.95,Experimental,FALSE,B,11,0,0.1,0.021525802,0,Plate2_D2
B23,B23,10.54,Experimental,FALSE,B,29,0,0.1,0.678761008,0.071428571,Plate2_E2
B24,B24,7.3,Experimental,FALSE,B,12,0,0.18,0.009797177,0,Plate2_F2
B25,B25,8.51,Experimental,FALSE,B,12,0,0.24,0.062011474,0,Plate2_G2
B28,B28,2.12,Experimental,FALSE,B,33,0,0,0.939380167,0.142857143,Plate2_H2
B29,B29,2.06,Experimental,FALSE,B,31,0,0,0.99999969,0.357142857,Plate2_A3
B3,B3,8.35,Experimental,FALSE,B,12,0.375,0.12,0.11787646,0,Plate1_F12
B31,B31,6.05,Experimental,FALSE,B,11,0,0.08,0.054157944,0,Plate2_B3
B33,B33,4.23,Experimental,FALSE,B,14,0.03125,0.32,0.032240134,0,Plate2_C3
B34,B34,2.68,Experimental,FALSE,B,13,0.15625,0.06,0.089749048,0,Plate2_D3
B36,B36,6.82,Experimental,FALSE,B,6,0.03125,0.32,0.028204795,0,Plate2_E3
