antID,nest,forage,count,size,hw,queen,Tag
1,302946.8854,124170.0863,2781272,8.747324039,1.877106874,0,0x000
2,332052.681,0,2070295,8.760438821,1.607805317,0,0x001
3,509777.9033,0,3128671,8.760469851,1.468016032,0,0x002
4,425553.8922,0,2649608,9.084985595,1.670621181,0,0x003
5,404335.3064,0,2555060,9.568521735,1.470500526,0,0x004
6,554714.2562,0,3572784,9.153694366,1.57056907,0,0x005
7,286383.4904,0,1726452,8.708738992,1.230838882,0,0x006
8,353855.5996,18740.61386,2428189,8.908016002,1.243640783,0,0x007
9,559147.9389,0,3598728,8.84535327,1.509665718,0,0x008
10,135217.2151,0,809274,11.23203283,1.600558324,0,0x009
11,537931.8525,17986.94022,3586167,8.836249316,1.434843833,0,0x00b
12,493095.8337,0,3134728,10.37083123,1.940119332,0,0x00c
13,450397.662,0,2881257,8.655929627,1.444369104,0,0x00d
14,365038.9709,78291.97402,2731699,7.890005057,1.328984565,0,0x00e
15,562712.7841,0,3658354,11.48662961,3.071191621,0,0x00f
16,474749.0958,0,2998967,9.824260236,1.494339533,0,0x010
17,523697.1275,0,3397216,8.057122185,1.194157512,0,0x012
18,540380.6967,4251.358586,3548343,9.10791514,1.55391324,0,0x013
19,501196.7097,0,3253695,8.599579712,1.477254247,0,0x014
20,161596.9892,233963.0791,2457883,8.623082016,1.559348886,0,0x015
21,423046.0526,0,2661303,7.447080958,1.872851167,0,0x016
22,63994.76315,17203.60367,639710,8.174837835,1.339807383,0,0x017
23,543516.5433,0,3512421,8.254170753,1.608244307,0,0x018
24,434064.0927,0,2714989,8.225109376,1.151454032,0,0x019
25,216026.0391,0,1390190,8.221392346,1.316948325,0,0x01a
26,152541.7773,214872.1346,2374068,8.518270024,1.425452137,0,0x01b
27,514457.26,0,3302295,8.410899229,1.25081018,0,0x01c
28,549327.3981,0,3568890,8.225235341,1.416211535,0,0x01d
29,539327.0237,0,3385153,8.710105264,1.727538825,0,0x01e
31,485311.4716,0,3091918,8.924943969,1.509779555,0,0x020
32,540344.3606,0,3473794,8.422925853,1.655407115,0,0x021
33,18714.07673,54964.66578,565848,8.524342982,1.677357844,0,0x022
34,45844.68313,414669.839,2986728,9.524019836,1.803926897,0,0x023
35,77066.63886,219399.4938,1811991,9.25011838,1.457859836,0,0x024
36,140911.5607,202213.7292,2244513,8.678791806,1.406647391,0,0x026
37,13098.05181,53230.15505,475292,8.447629121,1.422373853,0,0x027
38,468370.2382,8045.714652,3036886,8.389713722,1.490121043,0,0x028
40,247255.8498,0,1507146,9.467481841,1.500276731,0,0x02a
41,323977.4757,0,2148286,8.084438064,1.222994039,0,0x02c
42,525904.4714,0,3344855,8.094707234,1.320795491,0,0x02d
43,537985.685,0,3469933,9.173288284,1.420435574,0,0x02e
44,322420.8115,0,2006826,8.647808854,1.324345159,0,0x02f
45,560189.1087,0,3618558,8.546565577,1.312524868,0,0x030
46,398814.2834,0,2542741,8.941429653,1.350483198,0,0x031
47,287161.9998,0,1963210,7.698122295,1.21937286,0,0x032
48,417720.3618,0,2676806,9.622141114,0,0,0x033
49,513531.587,0,3290116,7.98305061,1.347109787,0,0x034
50,452239.8358,0,2844926,9.308986829,1.495546966,0,0x035
51,89068.69042,244709.4793,2224433,8.637593003,1.628874209,0,0x036
52,539153.5233,7314.044643,3534613,8.584069273,1.411382701,0,0x038
53,294771.0259,0,1933944,8.616396276,1.461340477,0,0x039
54,493094.3308,0,3182269,11.61840544,2.227959128,0,0x03a
55,362705.3086,0,2325665,9.246333057,1.679512694,0,0x03b
56,541522.5352,0,3493446,8.262967729,1.406309763,0,0x03c
57,537656.0199,0,3500593,9.057767914,1.548593799,0,0x03d
58,458638.6969,23098.1372,3119905,9.779086369,1.870889029,0,0x03e
59,26133.93704,410105.8106,2816116,9.275223173,1.516433304,0,0x03f
60,437116.4447,23455.80604,2983426,11.18283502,2.377566852,0,0x040
61,465948.5586,0,2956271,8.561822163,1.236918683,0,0x041
62,405427.8112,0,2621396,8.436174609,1.439921541,0,0x044
63,206649.5186,248489.4966,2987957,7.680970043,1.145154872,0,0x043
64,85675.34871,0,472698,8.947885417,1.548737711,0,0x045
65,559659.1069,0,3618953,8.858476737,1.312257982,0,0x046
66,221640.066,0,1412475,9.056547139,1.558585913,0,0x048
67,436831.4394,0,2792634,9.69950198,1.62237664,0,0x049
68,498522.8633,0,3196468,9.008795321,1.557154779,0,0x04a
69,553137.9135,0,3552603,10.97285705,2.159333674,0,0x04b
70,53369.5475,381308.8046,2727434,8.738246189,1.5862974,0,0x04c
71,384856.0525,137180.8317,3332243,8.04737563,1.345812575,0,0x04e
72,593422.0769,0,3880022,11.80157823,3.142398946,0,0x050
73,533661.0011,0,3407274,8.994419407,1.555467418,0,0x051
74,546455.3874,0,3565236,11.37239286,2.384398915,0,0x052
75,463705.8842,0,2936868,9.257778225,1.431867364,0,0x054
76,326615.4945,0,2010305,9.929532101,1.611351468,0,0x055
77,457620.5265,0,2922772,9.280343067,1.457988025,0,0x056
78,337123.0262,134.167487,2124611,10.95666359,2.555729061,0,0x057
79,33079.29965,364973.0391,2546461,8.615963797,1.670938347,0,0x059
80,523167.6326,10059.5597,3434859,10.92548325,2.321261845,0,0x05a
81,223570.7271,176839.2406,2614379,7.504123401,1.203251792,0,0x05b
82,475696.7658,0,3026133,8.405375324,1.324147245,0,0x05c
83,35237.4736,377619.6192,2648035,8.587840485,1.501811116,0,0x05d
84,298169.0337,85807.68788,2535928,8.730522032,1.31646024,0,0x05e
85,161744.3194,32918.03368,1334936,7.504068991,1.255347802,0,0x05f
86,513050.9238,0,3308947,11.32592397,2.296320222,0,0x060
87,421187.3795,0,2678774,10.1111424,1.852201,0,0x061
88,376269.5294,0,2431251,8.174436255,1.471156724,0,0x062
89,502373.8736,0,3172690,8.556224872,1.301175458,0,0x063
90,477279.4372,0,3092417,8.036799239,1.184636236,0,0x064
91,467986.732,53455.157,3303398,8.946210719,1.516756988,0,0x065
92,424961.8926,0,2750542,8.420576972,1.284717753,0,0x066
93,514453.4225,0,3373179,8.399739194,1.352019198,0,0x067
94,513734.2531,0,3304297,8.511192342,1.293352477,0,0x068
95,168361.6747,187944.1386,2307561,8.739694756,1.412170563,0,0x069
96,472126.5851,0,3032112,8.83229313,1.365138452,0,0x06a
97,450438.3316,0,2846244,9.62056779,1.488051491,0,0x06b
98,557236.5972,0,3585719,8.988070194,1.401969581,0,0x06c
99,412593.6728,0,2598783,8.209955184,1.31606435,0,0x06d
100,421535.0447,0,2692997,8.678481509,1.485440466,0,0x06e
101,535310.0078,0,3450781,9.439630987,1.338469204,0,0x06f
102,91762.04091,318809.2574,2642966,8.031499112,1.294960428,0,0x070
103,502007.706,0,3218393,8.70863206,1.365346925,0,0x072
104,498473.3619,22753.80182,3350108,10.97719954,2.412032604,0,0x073
105,528347.3132,0,3423916,8.663451716,1.547955889,0,0x074
106,554023.4165,21133.12883,3673682,8.48446459,1.38230962,0,0x075
107,285114.8243,0,1783788,11.07640858,1.500997706,0,0x076
108,521289.2886,0,3378526,9.227125568,1.494338974,0,0x077
109,477568.1046,0,3099095,9.147336201,1.463626601,0,0x078
110,146015.0875,250087.8493,2530706,8.591392903,1.506122845,0,0x079
111,125817.6643,90732.05266,1353871,7.309131086,1.365700156,0,0x07a
112,518049.7706,0,3285632,8.92866547,1.366315648,0,0x07b
113,220804.5518,126357.9346,2237093,8.296849355,1.434273585,0,0x07c
114,521121.2856,38543.23223,3629658,8.106021421,1.292898335,0,0x07d
