antID,nest,forage,count,size,hw,queen,Tag
1,72148.63869,214804.6791,2138276,8.591241871,0,0,0x000
2,119935.1729,0,745698,11.22773583,1.824691748,0,0x001
3,450470.4119,0,3186668,8.675410981,1.453583887,0,0x002
4,10019.04241,216760.3615,1807560,8.546013793,1.610075399,0,0x003
5,501727.6278,0,3641006,9.935867746,1.691783711,0,0x004
6,317281.0058,0,1928301,8.392916285,1.444637618,0,0x005
7,411750.9162,0,3036305,9.857352531,1.469532222,0,0x006
8,437746.8563,0,3064646,9.42746363,1.628784131,0,0x007
9,425054.8019,0,2817869,9.366407718,1.647866014,0,0x008
10,512626.674,0,3699613,9.045835775,1.619695825,0,0x009
11,446054.7276,0,3186934,9.140297094,1.448131619,0,0x00a
12,504821.9733,0,3683794,8.525494851,1.474812571,0,0x00b
13,487683.4017,0,3459145,8.645165696,1.849936263,0,0x00c
14,368947.8981,0,2726285,9.852615401,1.56203804,0,0x00d
15,500162.4567,0,3667755,10.59730907,2.201981511,0,0x00e
16,343182.7897,128.334119,2432142,9.380165782,1.577785037,0,0x00f
17,475092.5125,0,3106226,9.122505993,1.640761215,0,0x010
18,522487.7157,0,3792497,10.9251837,2.262682976,0,0x011
19,43722.85062,301297.7171,2316323,9.667530728,1.321344041,0,0x012
20,448046.2329,0,3180711,9.386417083,1.530341679,0,0x013
21,281897.0338,0,2348043,8.312193457,1.434972791,0,0x014
22,464667.9708,0,3233085,9.022834039,1.482438326,0,0x015
23,200839.5223,20542.9639,1722016,9.338784691,1.621993501,0,0x016
24,326912.558,0,2414531,10.65137069,1.868552843,0,0x017
25,233212.9796,0,1663383,8.807636799,1.415486703,0,0x018
26,251670.8955,7989.717365,1824220,8.897329687,1.483008439,0,0x019
28,41884.50864,314736.3004,2577129,8.832314526,1.366917823,0,0x01b
29,13573.05772,226005.7504,1779108,8.04054758,1.43474085,0,0x01c
31,474339.8482,0,3176076,8.702044324,1.397930301,0,0x01e
32,13806.89117,318549.3227,2382793,8.860793084,1.392377066,0,0x01f
33,305809.7924,0,2156965,10.04776984,1.620164701,0,0x020
34,421782.9583,0,3007436,8.22230888,1.210035091,0,0x021
35,200681.1743,161002.1807,2554304,8.119117235,1.224688743,0,0x022
36,436802.0174,0,2943240,8.709367589,1.288842538,0,0x023
37,185527.7817,186715.3363,2664394,9.320841215,1.541148929,0,0x024
38,14229.22631,319518.3331,2391034,9.402611421,1.426449196,0,0x025
39,77538.99488,257385.7755,2367325,10.44425626,0.139560155,0,0x026
40,132308.0633,297754.6879,3183663,8.232429116,1.429577911,0,0x027
41,523345.2196,0,3808952,11.45384036,2.905637049,0,0x028
43,160920.8406,200461.9264,2532376,8.112515783,1.434758065,0,0x02a
44,130796.2158,285733.2919,3018251,8.947236098,1.417974643,0,0x02b
45,501560.2939,0,3605508,10.99336179,2.28064267,0,0x02c
46,128358.7184,185539.4861,2241107,8.123318531,1.258942981,0,0x02d
47,417888.2803,49293.9704,3426139,9.673180189,1.604020916,0,0x02e
48,407412.7302,0,3042274,7.585006359,1.438609994,0,0x02f
49,421921.6245,17713.27913,3145810,9.125228063,1.645512077,0,0x030
50,29740.62448,329416.5564,2546936,8.540867204,1.435491266,0,0x031
51,285781.2087,0,1862275,8.634454412,1.334225186,0,0x032
52,391815.1649,0,2901054,9.883326958,1.679592023,0,0x033
53,432944.677,55804.84425,3562423,11.28929896,2.238273733,0,0x034
54,396120.1818,0,2864306,8.589315197,1.326026594,0,0x035
55,295350.7589,0,2417509,8.994394213,1.421168309,0,0x036
56,416067.1,0,3026893,9.420430796,1.697699626,0,0x037
57,441609.7062,0,3240349,9.772153108,1.484104753,0,0x038
59,500718.9559,0,3594860,7.943888169,1.259928166,0,0x03a
60,207051.0427,0,1422873,10.06922758,1.569418034,0,0x03b
61,278641.0116,0,2041557,10.60988487,1.915062826,0,0x03c
62,421883.7938,0,3129196,10.156287,1.662138094,0,0x03d
63,512057.506,0,3652526,9.120857802,1.726504228,0,0x03e
