antID,nest,forage,count,size,hw,queen,Tag
1,547059.3246,0,2736423,9.18684872,1.449648721,0,0x000
2,314400.4005,0,1574361,9.119129207,1.368888356,0,0x001
3,551756.9637,0,2758859,12.33583636,3.046384544,0,0x002
4,443328.2676,0,2218145,9.117772669,1.425668901,0,0x003
5,317374.0253,0,1589132,9.524414239,1.481198039,0,0x004
6,213576.3687,7803.882375,1115196,10.73423407,1.963243571,0,0x005
7,326686.4987,54147.50628,1959432,9.390169554,1.523605815,0,0x006
8,447639.9021,0,2239571,10.84144327,1.429253352,0,0x007
9,60243.49648,71074.94342,729887,8.038515841,1.280978478,0,0x008
10,572316.5334,0,2860839,9.421721919,1.565145349,0,0x009
11,113719.3402,7582.880547,614052,9.378201965,1.683943163,0,0x00a
12,0,16706.93711,100313,9.284871536,1.609052901,0,0x00b
13,176909.0606,294733.6753,2652761,8.381977263,1.650322832,0,0x00c
14,2212.618262,208791.9729,1259694,9.216765966,1.469479755,0,0x00d
15,54786.05295,79297.16233,750816,8.682926885,1.381507352,0,0x00e
16,3521.629147,390402.2727,2359974,10.16510049,2.182861122,0,0x00f
17,435066.3994,345.835484,2176579,8.724954409,1.469784787,0,0x010
18,60427.29913,125627.2864,1054435,9.160931133,1.389117914,0,0x011
19,504725.1743,0,2523813,8.794102466,1.404513535,0,0x012
20,361363.1916,0,1802279,9.090042745,1.466932683,0,0x013
21,575241.7575,0,2875587,9.217567045,1.595453306,0,0x014
22,390743.6318,0,1954268,9.470023088,1.428103189,0,0x015
23,310085.3648,0,1557692,9.120603554,1.523370276,0,0x016
24,505858.5855,0,2531518,10.68186621,1.970865809,0,0x017
25,464157.6391,0,2322594,9.415663716,1.654566035,0,0x018
26,155379.0841,0,792728,8.972804897,1.623774216,0,0x019
27,507584.1994,0,2537005,8.199614434,1.356891401,0,0x01a
29,47843.79521,107159.8366,887604,9.408007364,1.604458201,0,0x01c
30,573137.7404,0,2866219,12.40487004,2.868992297,0,0x01d
31,6817.656076,414620.7626,2522712,10.0320956,1.879072932,0,0x01e
32,353242.3216,0,1768805,8.847206508,1.502303666,0,0x01f
33,11884.09825,320760.5054,1983964,10.79364187,2.095816015,0,0x020
34,9025.474552,120435.0868,761990,8.84378844,1.473962215,0,0x021
35,0,1996.179141,12003,8.353670311,1.345199258,0,0x022
36,0,52062.99169,312467,9.634277149,1.599798648,0,0x023
37,173046.8311,165858.8709,1859676,8.82696125,1.48555098,0,0x024
38,426265.3254,0,2133704,9.644586309,1.53399432,0,0x025
39,443277.866,0,2218717,9.192221533,1.297176692,0,0x026
40,482169.5888,15.333429,2413996,9.374449929,1.567438454,0,0x027
41,310738.1699,0,1558520,8.910133417,1.409105199,0,0x028
42,552622.3707,0,2761175,7.963194685,1.380014513,0,0x029
43,478023.9541,0,2393061,10.41994828,1.71692325,0,0x02a
44,425151.3168,0,2127652,8.675843503,1.531793819,0,0x02b
45,453494.349,5773.702662,2301189,8.665710634,1.364711502,0,0x02c
46,500204.7394,0,2503177,9.674557758,1.433678036,0,0x02d
47,258074.7336,0,1293156,8.744851819,1.371893115,0,0x02e
48,527274.7618,0,2636246,9.050922222,1.654130193,0,0x02f
49,324552.4836,0,1626959,9.267410039,1.330663122,0,0x030
50,296727.8557,0,1484710,9.860722181,1.665424448,0,0x031
51,409241.7866,0,2047206,9.819519684,1.612342995,0,0x032
52,472557.5078,0,2363936,9.593822907,1.640858019,0,0x033
53,382762.3678,0,1916028,10.26805879,1.718948604,0,0x034
54,263861.9789,110560.5251,1980903,8.075892138,1.295910394,0,0x035
55,526908.7593,0,2634912,9.771397641,1.630921902,0,0x036
56,6048.84996,134194.6731,835561,9.640330637,1.894407825,0,0x037
57,539760.6641,0,2698733,9.354779827,1.593995144,0,0x038
58,16593.13708,331701.0759,2050592,9.355629682,1.49742232,0,0x039
59,463445.6343,0,2320252,8.889998859,1.568869816,0,0x03a
60,494078.0872,0,2464730,7.515953564,1.472457312,0,0x03b
61,185658.9354,0,938025,8.912100974,1.320564741,0,0x03c
62,560223.4343,2702.183516,2817858,9.030723243,1.555435101,0,0x03d
63,546976.724,0,2735573,9.396769953,0,0,0x03e
64,68366.16508,1156.34061,355502,11.27379662,1.951310963,0,0x03f
65,507779.8019,0,2537471,9.264288869,1.314946748,0,0x040
