antID,nursing,foraging,tropholaxis,cleaning,module,age,queen,lane,prep,nursebox,foragebox,boxratio,soft,N_Q_contacts,Prop_time_foraging,N_exits,Prop_time_guarding_2BL_FPT500sec,Prop_time_guarding_2BL_FPT1000sec,Prop_time_guarding_2BL_FPT2000sec,N_guarding_bouts_2BL_FPT500sec,N_guarding_bouts_2BL_FPT1000sec,N_guarding_bouts_2BL_FPT2000sec,Prop_time_in_BroodPile,N_BroodPile_visits,Prop_time_in_Food1,Prop_time_in_Food2,Prop_time_in_Food3,Prop_time_in_TrashPile,N_TrashPile_visits
2,2,46,1,0,1,23,0,1,Crushed,1959537,348276,0.150911707,0.908177738,5.41E-05,0.149375135,4.21E-05,0.062619716,0.039512637,0.019704544,0.000693913,0.00045201,0.000176593,0.00714279,2.96E-05,0.018649281,7.65E-05,0.000719263,0.000749769,6.66E-05
4,19,0,6,1,2,6,0,8,Crushed,2367152,0,0,0.0773346,0.000231318,0,0,0.001670336,0.001636817,0.001264119,1.83E-05,1.63E-05,1.16E-05,0.09884321,0.000509431,0,0,0,0.000441728,3.82E-05
5,16,0,6,1,2,6,0,3,Crushed,2916481,0,0,0.133687042,0.0001165,0,0,2.88E-05,1.41E-05,1.07E-05,4.02E-06,1.67E-06,1.67E-06,0.110514699,0.000593213,0,0,0,0.001035444,3.72E-05
6,20,1,7,0,2,NA,0,3,Crushed,2838048,419,0.000147615,0.030024413,0.000465813,0.000144682,6.91E-07,1.24E-05,0,0,1.38E-06,0,0,0.15664754,0.000652622,0,3.45E-07,0,0.000608078,3.04E-05
9,0,0,0,0,1,23,0,4,Crushed,2951381,356843,0.107865429,0.885901973,2.88E-05,0.142481061,2.80E-06,0.03986229,0.02876307,0.008921945,0.000369281,0.000241653,8.12E-05,0.003656797,2.04E-05,6.00E-06,4.52E-05,4.00E-07,0.000488106,4.20E-05
14,30,0,8,10,2,16,0,2,Crushed,2998332,0,0,0.035931619,0.000285232,0,0,0,0,0,0,0,0,0.185933465,0.000869838,0,0,0,0.001982485,0.000108988
15,0,0,4,3,1,24,0,2,Crushed,2905860,101982,0.033905371,0.778845286,0.000110055,0.038245964,9.77E-06,0.065312471,0.041890565,0.018746239,0.000610376,0.000396275,0.000238516,0.001692525,3.94E-05,0.001095672,0.000269692,6.76E-05,0.000952562,8.79E-05
19,0,0,0,0,1,34.1,0,9,Crushed,2973801,202249,0.063679413,0.972087082,3.87E-05,0.177750737,2.64E-05,0.036997871,0.017285162,0.007187549,0.000473711,0.000241258,0.000108302,0.000111824,4.40E-06,2.03E-05,1.23E-05,4.93E-05,0.003489435,0.000458742
27,8,0,7,6,2,8,0,7,Crushed,2194167,0,0,0.079780745,0.000251961,0,0,0,0,0,0,0,0,0.066280547,0.000601135,0,0,0,0.000567408,4.36E-05
28,13,17,9,19,2,18,0,2,Crushed,2566166,221029,0.079301592,0.279666353,0.000246613,0.079906004,4.45E-05,0.001237413,0.00046498,0.00018324,5.14E-05,2.39E-05,9.78E-06,0.103347315,0.000539942,0.000268704,0.000534872,0.000517852,0.016013576,0.000372636
32,3,0,10,0,2,NA,0,4,Crushed,2932906,0,0,0.206422504,0.00015254,0,0,0,0,0,0,0,0,0.069099324,0.0002355,0,0,0,0.000234497,1.71E-05
35,27,0,4,0,2,NA,0,2,Crushed,2993552,2,6.68E-07,0.036274785,0.000138908,6.69E-07,6.69E-07,0,0,0,0,0,0,0.190206471,0.000710607,0,0,0,0.000669437,4.69E-05
42,9,0,4,7,2,9.1,0,7,Crushed,2784996,1,3.59E-07,0.17050063,0.000168525,3.36E-07,3.36E-07,0.001447907,0.001436493,3.02E-05,9.74E-06,6.38E-06,2.35E-06,0.056966237,0.000393785,0,0,0,0.001498599,0.000104741
43,14,0,8,5,2,6,0,1,Crushed,2816080,0,0,0.026542982,0.000199796,0,0,0,0,0,0,0,0,0.162538396,0.000587654,0,0,0,0.000314108,2.51E-05
52,0,1,3,0,1,24,0,7,Crushed,2095969,520110,0.198812803,0.971632674,4.42E-05,0.269730415,2.70E-05,0.051690288,0.023430484,0.006609717,0.000636079,0.000341945,0.000151225,0.000487453,1.92E-05,2.81E-05,0.000185523,2.81E-05,0.001962804,7.43E-05
53,3,0,5,1,2,14,0,3,Crushed,2978421,1,3.36E-07,0.161173532,8.97E-05,3.32E-07,3.32E-07,1.16E-05,9.96E-07,0,1.66E-06,3.32E-07,0,0.063437568,0.000472334,0,0,0,0.000225206,2.19E-05
54,0,7,1,0,1,20,0,9,Crushed,2939408,68168,0.022665429,0.879071366,8.21E-05,0.024155643,1.07E-06,0.050717897,0.036423919,0.017214742,0.000456236,0.000311975,0.000142485,0.000774607,1.21E-05,0.000878361,0.000798413,0.004694897,0.000181215,2.38E-05
59,0,2,4,2,0,13,0,4,Crushed,935955,43270,0.044188006,0.650808469,0.000101439,0.015286602,1.41E-06,0.014158397,0.007928179,0.002194202,0.000282405,0.000191215,3.46E-05,0.008900867,0.0001025,7.42E-06,1.41E-06,0.001430755,0.000513206,1.91E-05
63,13,0,10,11,2,19,0,6,Crushed,2952078,89299,0.029361372,0.35684587,0.000226313,0.032125306,1.80E-05,0.003174884,0.001583111,0.000253023,6.64E-05,5.41E-05,9.02E-06,0.074691707,0.000399568,0.000230284,0.000113698,0.0016784,0.003937564,0.000203935
65,12,0,7,2,2,15,0,3,Crushed,1983866,1,5.04E-07,0.133915413,0.000186619,3.41E-07,3.41E-07,8.85E-06,4.77E-06,0,2.72E-06,2.04E-06,0,0.041634003,0.000291847,0,0,0,0.001792969,8.38E-05
80,36,0,7,3,2,6,0,7,Crushed,3047883,0,0,0.017313285,0.000560753,0,0,1.67E-06,0,0,3.34E-07,0,0,0.280897138,0.00087154,0,0,0,0.002343934,7.62E-05
99,0,10,1,0,1,35,0,4,Crushed,1083689,443118,0.290225287,0.970346097,4.89E-05,0.204178408,1.85E-06,0.194311748,0.159871461,0.089885716,0.000985604,0.000819875,0.000412246,0.000729393,1.11E-05,0.002624431,2.12E-05,0.001711304,0.002218186,6.97E-05
113,0,3,3,0,1,20,0,7,Crushed,2946390,495019,0.143841955,0.890527196,2.45E-05,0.201709669,8.16E-07,0.003226499,0.00182307,8.82E-05,7.02E-05,3.14E-05,2.04E-06,0.005218568,3.76E-05,0.001392816,0.00015063,1.55E-05,0.00162223,5.35E-05
115,0,0,1,0,1,24,0,8,Crushed,2833252,42123,0.014649567,0.940233655,4.99E-05,0.017491193,1.66E-06,0.173027208,0.143563387,0.098096684,0.001236238,0.000950057,0.000692576,0.001911344,1.04E-05,0.000442999,7.82E-05,0.000497074,0.000412218,2.20E-05
118,33,0,5,6,2,15,0,3,Crushed,3025636,38589,0.012593396,0.050070009,0.000460939,0.013046369,7.12E-06,8.65E-05,6.99E-05,3.63E-05,7.12E-06,5.43E-06,2.71E-06,0.297914073,0.001084682,9.06E-05,3.39E-06,0.000869645,0.001906164,9.73E-05
126,42,0,3,5,2,18,0,9,Crushed,2954261,1,3.38E-07,1.16E-10,0.000133485,3.53E-07,3.53E-07,0,0,0,0,0,0,0.326720548,0.000888132,0,0,0,0.003567712,7.13E-05
