antID,cleaning,trophallaxis,broodcare,feedingin,guarding,grooming,queenattending,trophallaxisout,cleaningout,groomingout,feedingout
1,1,3,,,3,1,,,,,
2,3,6,,,,3,4,,,,
3,,3,32,6,,1,6,,,,
4,,12,20,3,,3,2,,,,
5,,5,28,5,,,6,,,,
6,37,3,,,3,1,,,,,
7,,2,19,3,,1,2,,,,
8,,7,,,3,,,1,,,
9,33,2,,,,2,,,,,
10,,4,26,1,,2,7,,,,
11,3,3,7,4,,1,3,,,,
12,3,9,,10,,4,8,,,,
13,,6,38,7,,2,6,,,,
14,2,,,,14,,,,,,
15,,3,,,,,1,,,,
16,,8,8,6,,5,14,,,,
17,15,4,,,,1,1,,,,
18,,2,,,16,1,1,,,,
19,1,6,4,1,,,,,,,
20,,1,,,2,2,,5,,,
21,4,,2,,,,,,,,
22,,,,,,,,,,,
23,14,4,,,,,,,,,
24,1,5,,,11,,,,,,
25,1,1,,,2,2,,,,,
26,1,1,,,1,,,1,,,
27,1,6,,,,1,2,,,,
28,4,,,,3,,,,,,
29,5,3,,,,2,,,,,
30,,,,,,,,,,,
31,2,3,,4,,1,,,,,
32,9,3,7,2,,3,1,,,,
33,1,,,,,,,,,,1
34,,,,,1,,,4,1,,1
35,6,,,,,,,1,,,1
36,6,,,,,,,,,,
37,,,,,,,,,,,
38,3,1,,,,1,,,,,
39,1,,,,,,,,,,
40,6,,,1,,2,5,,,,
41,1,,9,1,,,,,,,
42,4,8,2,,1,,,,,,
43,32,1,,,,,,,,,
44,1,2,8,9,,,,,,,
45,,2,66,3,,,2,,,,
46,2,6,34,16,,,,,,,
47,,4,5,1,,2,,,,,
48,,6,32,4,,2,7,,,,
49,,2,62,,,,1,,,,
50,1,14,12,6,,2,14,,,,
51,,1,1,,1,,,3,,,
52,18,1,1,6,,3,2,,,,
53,5,1,17,3,,1,2,,,,
54,3,4,,,4,,1,,,,
55,,3,33,,,2,11,,,,
56,1,4,60,5,,,8,,,,
57,,4,2,1,,2,,,,,
58,1,7,2,1,,3,19,,,,
59,,,,,1,,,6,1,1,1
60,1,4,,,18,,,,,,
61,2,6,6,8,,2,6,,,,
62,2,6,11,6,,2,3,,,,
63,,,,,,2,,3,,,
64,2,2,,,,,,,,,
65,12,9,2,2,,1,2,,,,
66,1,2,30,6,,2,3,,,,
67,,7,5,,,1,38,,,,
68,,4,54,1,,,3,,,,
69,,5,1,1,,1,3,,,,
70,1,,,,3,1,,8,,,3
71,,5,,,3,,,1,,,
72,4,4,,,2,,,,,,
73,,11,22,11,,2,,,,,
74,6,1,,,14,,,,,,
75,,3,29,6,,1,12,,,,
76,,3,17,4,,2,9,,,,
77,,3,2,3,,1,8,,,,
78,,3,,,17,,,,,,
79,,1,,,,,,9,4,,1
80,,4,,,8,,,,,,
81,3,,,,,,,,2,1,
82,2,6,7,5,,4,1,,,,
83,,,,,,,,9,1,1,2
84,,2,,,,1,,,,,
85,1,1,,,,,,,,,
86,3,5,,,1,1,,,,,
87,3,4,,,,,,,,,
88,30,1,,,,,,,,,
89,,4,37,5,,1,,,,,
90,4,4,22,4,,1,1,,,,
91,1,6,,,1,1,1,1,,,
92,1,5,10,12,,3,3,,,,
93,,8,,,,2,1,,,,
94,1,5,6,17,,,,,,,
95,,2,1,,1,,,3,2,,
96,1,3,22,4,,,7,,,,
97,,13,14,6,,3,23,,,,
98,4,4,4,12,,4,16,,,,
99,,3,,,,,1,,,,
100,2,2,,2,,2,15,,,,
101,6,2,8,10,,2,5,,,,
102,,1,,,3,,,2,4,,3
103,1,6,48,6,,2,2,,,,
104,22,4,,,7,,,,,,
105,4,9,6,6,,1,5,,,,
106,7,4,,,18,,,,,,
107,,4,41,5,,2,8,,,,
108,,3,50,,,1,14,,,,
109,1,4,10,3,,2,12,,,,
110,1,3,,,4,,,1,4,1,1
111,,,,,,,,1,1,,
112,1,6,5,8,,2,13,,,,
113,,2,,,7,,1,,1,1,
114,,2,,,,,,,,,
115,4,,,,3,,4,,,,
116,,3,26,5,,7,,,,,
117,12,3,3,7,1,2,,2,,,
118,7,3,1,7,,,1,,,,
119,,,,,1,,,,2,,1
120,3,6,,2,5,1,,,,,
121,2,3,,,,,,2,2,,2
122,,,,,1,,,3,6,,
123,,2,,,2,,,,,,
124,4,6,,,32,,,,,,
125,,,,,1,,,2,10,,
126,1,3,,,3,,,,,,
127,,4,,,,,,,,,
