antID,cleaning,trophallaxis,broodcare,feedingin,guarding,grooming,queenattending,trophallaxisout,cleaningout,groomingout,feedingout
1,,2,,,2,,,3,5,1,1
2,,6,20,4,,2,3,,,,
3,12,5,6,10,,,,,,,
4,,,,,,,,7,,,
5,1,3,1,2,1,,,,,,
6,,6,1,1,,,1,,,,
7,2,9,6,2,,,9,,,,
8,,10,9,5,,3,3,,,,
9,5,5,26,2,,,,,,,
10,,2,1,1,4,,,,,,
11,,6,14,1,,,10,,,,
12,,,2,,,,,,,,
13,,9,1,4,,2,5,,,,
14,,4,3,1,1,,,,,,
15,,5,2,5,,3,,,,,
16,2,2,23,7,,4,3,,,,
17,,2,3,,1,1,3,,,,
18,,4,,,,,,,,,
19,,2,,,,,,4,2,1,
20,,5,3,1,,,1,,,,
21,,,4,,,,,,,,
22,,2,5,,,1,13,,,,
23,,4,5,,6,1,,1,,,
24,,13,9,1,,2,21,,,,
25,,2,12,,,1,,,,,
26,,4,1,,2,,,,,,
27,,,,,,,,,,,
28,,,,,,,,1,1,,
29,,2,,,,,,4,1,,
30,,,,,,,,,2,,
31,,1,4,,,,6,,,,
32,,,,,,,,8,,,3
33,1,4,16,10,,3,5,,,,
34,5,5,3,11,2,1,2,,,,
35,1,,,,3,,,1,,,
36,1,2,16,1,,,14,,,,
37,,2,1,,3,,,6,,1,
38,,,1,,,,,4,,,
39,,,,,,1,,2,,,
40,,,,,2,,,,1,,
41,2,2,,,2,,,,,,
42,,,,,,,,,,,
43,,2,,,1,,,1,6,,
44,,6,,,2,,1,8,,,
45,,5,,1,10,,,,,,
46,,,,,,,,2,1,,1
47,1,3,1,8,2,,,,,,4
48,1,,2,1,7,,,,,,
49,3,2,,,14,,,1,,1,
50,,,,,1,,,7,,,
51,,,1,,5,,1,,,,
52,1,5,2,2,,1,19,,,,
53,2,7,,1,8,,1,,,,1
54,7,,,,1,,,,,,
55,32,2,1,1,,,1,,,,
56,1,14,13,1,,2,8,,,,
57,1,8,11,3,,2,10,,,,
58,,,,,,,,,,,
59,,6,4,1,1,1,1,,,,
60,,2,16,,,1,11,,,,
61,1,4,11,1,,2,16,,,,
62,,2,16,4,,1,20,,,,
63,1,3,4,,3,1,,,,,
64,,6,18,2,,,12,,,,
65,,3,15,5,,1,3,,,,
66,6,5,5,2,1,1,3,,,,
67,2,6,14,8,,2,,,,,
68,4,3,43,3,,,,,,,
69,2,2,16,4,,3,3,,,,
70,,2,3,,2,,,,,,
71,,3,22,3,1,,,,,,
72,,1,13,,,,2,,,,
73,,5,13,5,,,3,,,,
74,,3,2,1,1,2,3,,,,
75,2,1,16,9,,1,5,,,,
76,2,3,14,,1,,13,,,,
77,,8,33,2,,,4,,,,
78,1,2,,1,3,1,,,,,
79,1,,,,19,1,,,,,
80,26,4,1,5,,3,,,,,
81,,1,6,5,,,4,,,,
82,2,7,32,2,,1,1,,,,
83,8,8,5,7,,1,2,,,,
84,,4,32,9,,1,,,,,
85,,5,43,5,,,,,,,
86,,5,19,11,,2,5,,,,
87,1,8,9,,,4,6,,,,
88,,7,16,9,,,6,,,,
89,3,3,5,3,,1,8,,,,
90,,4,7,4,,,23,,,,
91,,2,31,6,,,1,,,,
92,1,3,2,1,,1,29,,,,
93,,6,9,,,3,28,,,,
94,2,2,20,1,,2,11,,,,
95,,4,11,5,,1,16,,,,
96,,5,8,,,,14,,,,
97,1,7,8,,,4,22,,,,
98,,1,50,2,,,2,,,,
99,1,3,,,6,2,,,,,1
100,1,6,23,2,,,6,,,,
101,,8,12,,,,9,,,,
102,1,8,4,1,,2,26,,,,
103,2,6,1,5,,,6,,,,
104,,2,,1,2,,,,,,
105,,,,,1,,,9,1,1,
106,,,,,,,,9,,,
107,,,,,,,,8,2,,3
108,,6,,,1,,,6,2,2,1
109,,,1,,1,,,14,,,3
110,,,,,1,,,3,7,,2
111,1,2,,,10,,,,,,
112,1,5,28,1,,,1,,,,
113,5,7,9,,,1,,,,,
114,,,,,,,,,,,
115,1,2,18,2,,1,3,,,,
116,1,1,1,,,,,8,1,,3
117,,1,,,1,1,,1,,,
118,1,2,,,2,1,,1,,,
119,1,5,10,6,2,,6,,,,
120,1,10,1,4,3,,1,,,,
121,,4,2,3,1,,1,,,,
122,2,3,1,,,2,18,,,,
123,6,7,3,1,,,6,,,,
124,1,5,14,2,,2,2,,,,
125,3,1,2,1,3,,,,,,
126,,3,1,,9,,,,,,
127,2,4,,,4,,,1,1,,
128,1,6,,,,,,,,,
129,,3,4,,2,1,,,,,
130,1,1,2,11,,,,,,,
131,1,4,1,6,7,,,,,,
132,,1,,,5,2,,3,1,,
133,,4,,7,,,9,,,,
134,2,5,20,,,1,12,,,,
135,15,3,,2,5,,,,,,
136,3,7,11,3,2,,4,,,,
137,,,,,5,,,,,,
138,2,5,8,4,,1,12,,,,
139,,3,,,,,,,,,
