antID,cleaning,trophallaxis,broodcare,feedingin,guarding,grooming,queenattending,trophallaxisout,cleaningout,groomingout,feedingout
1,,4,5,2,,,22,,,,
2,,2,27,8,,1,1,,,,
3,1,7,6,2,2,,1,,,,
4,1,6,1,8,2,7,4,,,,
5,,2,11,1,1,,2,,,,
6,,2,,,22,1,,,,,
7,2,11,,,7,,,,1,,
8,1,2,1,1,6,1,2,,,,
9,1,,,,,,,,,1,
10,,1,1,1,,,2,,,,
11,,,,,2,,,,,,
12,,,,,,,1,,,,
13,1,,,,6,,,1,,,
14,1,,,,,,,1,,,
15,1,1,,,,,,,1,,1
16,,,,,,,,,,,
17,1,3,18,11,,,1,,,,
18,,1,,,,,,,,,
19,,4,,,3,,1,,,,
20,,2,6,1,2,,2,,,,
21,1,4,1,1,,,,,,,
22,,4,14,3,1,1,5,,,,
23,,2,17,1,,,2,,,,
24,1,5,15,7,1,3,4,,,,
25,,3,,,6,,,,,,
26,,1,13,3,,1,6,,,,
27,1,6,3,,5,1,9,,,,
28,,,,,,,,,,,
29,,2,,,,,,4,,1,
30,1,1,,,2,,,,,,
31,,,,,,,,2,1,,
32,3,3,4,2,,,1,,,,
33,,1,,,,,,5,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,1,2,,,10,,,,,1,
38,3,4,4,1,2,1,31,,,,
39,,3,24,5,,,17,,,,
40,,4,4,1,,,45,,,,
41,,7,30,5,1,4,4,,,,
42,9,1,,1,1,,2,,,,
43,,1,3,,,,26,,,,
44,,2,34,4,,1,4,,,,
45,,4,,,6,,2,,,,
46,,1,,,1,1,3,,,,
47,,1,15,,,,5,,,,
48,,4,5,,1,,4,,,,
49,1,6,23,3,,,8,,,,
50,3,4,,1,1,,,,,,
51,1,2,12,3,1,,24,,,,
52,13,3,1,3,14,2,1,,,,
53,3,2,3,3,,,2,,,,
54,1,2,,,2,2,,,,,2
55,2,4,,,1,2,1,,,,
56,,,,,1,,,,,,
57,,5,,1,1,,7,,,,
58,,1,1,,,,,2,1,,
59,1,2,,,,2,6,,,,
60,21,4,,6,,1,,,,,
61,,2,14,,,1,10,,,,
62,,4,,1,,,,1,,,
63,2,3,1,1,1,1,,,,,
64,,3,,4,2,1,9,,,,
65,26,3,1,,3,,1,,,,
66,20,1,1,,3,,,,,,
67,24,2,2,,,1,,,,,
68,33,2,,,1,,,,,,
69,,,,,,,,,1,,
70,,6,10,6,,2,12,,,,
71,,,,,,,,2,2,,
72,22,3,,5,,,,,,,
73,9,3,2,,6,,,,,,
74,1,2,,2,9,,,,,,
75,41,2,,,2,,,,,,
76,,,2,,,1,,,,,
77,8,2,,1,7,,,,,,
78,7,,2,1,1,,,,,,
79,,,,,,,,,2,,
80,2,1,,,,,1,,,,
81,7,,,1,,,1,,,,
82,2,8,5,3,1,3,10,,,,
83,1,3,,,8,,,,,,
84,,,,,,,,,,,
85,,,,,,,,1,,,
86,,1,1,,1,,,1,,,
87,1,2,,1,1,,,,,,
88,2,7,19,5,1,,15,,,,
89,9,5,3,2,1,1,4,,,,
90,1,,3,,,1,20,,,,
91,,,,,,,,2,1,,
92,1,2,10,4,,,4,,,,
93,4,3,18,5,1,,7,,,,
94,,2,,,,,,2,,,1
95,,,,,,,,,,,
96,,1,,,6,1,,,1,,
97,3,3,5,10,,1,2,,,,
98,2,4,1,,,1,1,,,,
99,3,2,,,1,,,,,,
100,,,4,2,1,,8,,,,
101,1,9,17,8,1,1,21,,,,
102,,1,3,,1,,,,,,
103,1,4,24,,,,2,,,,
104,,2,1,3,1,,7,,,,
105,2,6,1,1,,,4,,,,
106,,,6,,,1,12,,,,
107,,3,,,5,,,1,,,2
108,,11,8,5,,1,6,,,,
109,,5,2,1,2,,16,,,,
110,9,4,4,15,1,2,4,,,,
111,,,,,,,,,1,,
112,,2,,,,,1,,,,
113,2,6,20,2,,,5,,,,
114,,2,6,5,,,2,,,,
115,1,1,21,17,,,,,,,
116,,,,,,,,4,1,,
117,,1,,,,,,3,1,,
118,,6,,,,2,,,,,
119,,,,,,,,,1,1,2
120,1,8,13,8,,,2,,,,
121,1,2,6,2,,,19,,,,
122,,2,,,,,1,,,,
123,2,4,28,7,2,,,,,,
124,,6,,,1,,,,,,
125,,3,1,1,10,,,,,,
126,,5,7,4,,,28,,,,
127,,,,,,,1,1,,2,2
128,,4,24,1,,,2,,,,
129,5,12,14,3,,1,10,,,,
130,8,3,7,10,,1,2,,,,
131,1,3,4,,1,,7,,,,
132,,3,,,1,,7,,,,
133,,3,43,7,,,7,,,,
134,,4,1,,3,1,,,,,
135,1,4,2,1,3,,7,,,,
136,,,,,,,,1,5,,
137,1,1,2,2,,1,17,,,,
138,1,4,33,3,1,1,4,,,,
139,,1,,,,,,,,,
