antID,Tag,Colour,Age,Survived,Extraction
1,0x000,purple-pink,17,y,1
2,0x001,white-white,7,y,1
3,0x002,white-green,2,y,1
4,0x003,white-green,2,y,1
5,0x004,white-purple,4,y,1
6,0x005,purple-silver,14,y,1
7,0x006,red-white,6,n,1
8,0x007,orange-yellow,20,y,1
9,0x008,pink-silver,9,y,1
10,0x009,white-pink,3,y,1
11a,0x00a,orange-yellow,20,y,1
11b,0x00a,orange-yellow,20,y,1
12,0x00b,pink-green,11,y,1
13,0x00c,pink-red,8,y,1
14,0x00d,white-cyan,5,y,1
15,0x00e,purple-silver,14,y,1
16,0x00f,orange-orange,25,y,1
17,0x010,red-red,1,y,1
18,0x011,pink-yellow,10,n,1
19,0x012,pink-red,8,y,1
20,0x013,purple-purple,19,y,1
21,0x014,white-pink,3,y,1
22,0x015,purple-pink,17,y,1
23,0x016,pink-silver,9,y,1
24,0x017,purple-pink,17,y,1
25,0x018,white-green,2,y,1
26,0x019,pink-green,11,y,1
27,0x01a,white-purple,4,y,1
28,0x01b,darkblue-pink,28,y,2
29,0x01c,white-white,7,y,2
30,0x01d,pink-pink,13,y,2
31,0x01e,orange-yellow,20,y,2
32,0x01f,orange-silver,22,n,2
33,0x020,orange-yellow,20,y,2
34,0x021,white-blue,5,y,2
35,0x022,darkblue-pink,28,y,2
36,0x023,orange-green,24,y,2
37,0x024,orange-green,24,y,2
38,0x025,darkblue-pink,28,n,2
39,0x026,purple-purple,19,y,2
40,0x027,orange-pink,23,n,2
41,0x028,pink-green,11,y,2
42a,0x029,pink-red,8,y,2
42b,0x029,orange-silver,22,y,2
43,0x02a,pink-pink,13,y,2
44,0x02b,pink-blue,12,n,2
45,0x02c,pink-yellow,10,y,2
46,0x02d,white-purple,4,y,2
47,0x02e,white-pink,3,y,2
48,0x02f,red-white,6,y,2
49,0x030,red-white,6,y,2
50,0x031,white-pink,3,y,2
51,0x032,white-blue,5,y,2
52,0x033,white-green,2,y,2
53,0x034,red-white,6,y,2
54,0x035,white-blue,5,y,2
55,0x036,orange-orange,25,y,2
56,0x037,white-purple,4,n,2
57,0x038,white-blue,5,y,2
58,0x039,white-white,7,y,2
59,0x03a,orange-green,24,y,3
60,0x03b,red-red,1,y,3
61,0x03c,red-white,6,y,3
62,0x03d,pink-pink,13,y,3
63,0x03e,white-green,2,y,3
64,0x03f,orange-green,24,y,3
65,0x040,orange-silver,22,y,3
66,0x041,white-purple,4,y,3
67,0x042,orange-silver,22,n,3
68,0x043,white-purple,4,y,3
69,0x044,purple-blue,15,y,3
70,0x045,orange-cyan,21,y,3
71,0x046,red-red,1,y,3
72,0x047,red-red,1,n,3
73,0x048,white-pink,3,y,3
74,0x049,purple-silver,14,y,3
75,0x04a,red-white,6,y,3
76,0x04b,pink-yellow,10,y,3
77,0x04c,orange-yellow,20,y,3
78,0x04d,red-red,1,n,3
79,0x04e,orange-cyan,21,y,3
80,0x04f,orange-yellow,20,n,3
81,0x050,darkblue-white,26,y,3
82,0x051,white-green,2,y,3
83,0x052,darkblue-darkblue,31,y,3
84,0x053,pink-yellow,10,n,3
85,0x054,white-blue,5,y,3
86,0x055,white-green,2,y,3
87,0x056,pink-red,8,y,4
88,0x057,darkblue-orange,29,y,4
89,0x058,pink-green,11,n,4
90,0x059,orange-pink,23,y,4
91,0x05a,darkblue-pink,28,y,4
92,0x05b,purple-blue,15,y,4
93,0x05c,pink-yellow,10,y,4
94,0x05d,orange-yellow,20,y,4
95,0x05e,red-red,1,y,4
96,0x05f,red-white,6,y,4
97,0x060,orange-green,24,y,4
98,0x061,silver-purple,32,y,4
99,0x062,purple-purple,19,y,4
100,0x063,white-blue,5,y,4
101,0x064,white-green,2,y,4
102,0x065,orange-yellow,20,y,4
103,0x066,pink-green,11,y,4
104,0x067,white-green,2,y,4
105,0x068,white-blue,5,y,4
106,0x069,purple-silver,14,y,4
107,0x06a,red-red,1,y,4
108,0x06b,pink-yellow,10,y,4
109,0x06c,pink-yellow,10,y,4
110,0x06d,white-white,7,y,4
111,0x06e,pink-pink,13,y,4
112,0x06f,white-pink,3,y,4
113,0x070,purple-purple,19,y,5
114,0x071,red-red,1,n,5
115,0x072,white-pink,3,y,5
116,0x073,darkblue-darkblue,31,y,5
117,0x074,pink-yellow,10,y,5
118,0x075,darkblue-pink,28,y,5
119,0x076,white-purple,4,y,5
120,0x077,red-white,6,y,5
121,0x078,white-blue,5,y,5
122,0x079,orange-orange,25,y,5
123,0x07a,red-red,1,n,5
124,0x07b,pink-yellow,10,y,5
125,0x07c,pink-red,8,y,5
126,0x07d,purple-green,18,y,5
127,0x07e,pink-green,11,y,5
128,0x07f,white-purple,4,y,5
129,0x080,white-blue,5,y,5
130,0x081,white-purple,4,y,5
131,0x082,pink-pink,13,n,5
132,0x083,silver-pink,33,y,5
133,0x084,darkblue-white,26,y,5
134,0x085,purple-silver,14,y,5
135,0x086,darkblue-green,30,y,5
136,0x087,darkblue-orange,29,y,5
137,0x088,darkblue-pink,28,y,5
138,0x089,orange-green,24,y,5
139,0x08a,darkblue-cyan,27,n,5
140,0x08b,orange-pink,23,y,5
141,0x08c,queen,NA,NA,5
