antID,Tag,Color,Age,Survived,Extraction
1,0x000,red-blue,5,y,1
2,0x001,red-blue,5,y,1
3,0x002,red-white,6,y,1
4,0x003,white-pink,9,y,1
5,0x004,white-cyan,11,y,1
6,0x005,orange-darkgreen,30,y,1
7,0x006,darkblue-green,36,y,1
8,0x007,orange-orange,31,y,1
9,0x008,pink-red,14,y,1
10,0x009,pink-red,14,y,1
11,0x00a,pink-pink,19,y,1
12,0x00b,silver-purple,38,n,1
13,0x00c,white-pink,9,y,1
14,0x00d,darkblue-orange,35,y,1
15,0x00e,purple-green,24,y,1
16,0x00f,yellow-yellow,46,y,1
17,0x010,red-pink,2,y,1
18,0x011,orange-silver,28,y,1
19,0x012,white-pink,9,y,1
20,0x013,red-red,7,y,1
21,0x014,pink-yellow,16,y,1
22,0x015,white-green,8,y,1
23,0x016,lightgreen-lightgreen,1,y,1
24,0x017,pink-red,14,y,1
25,0x018,red-silver,3,y,1
26,0x019,red-red,7,y,2
27,0x01a,white-green,8,y,2
28,0x01b,lightgreen-lightgreen,1,n,2
29,0x01c,purple-blue,21,y,2
30,0x01d,pink-red,14,y,2
31,0x01e,orange-orange,31,y,2
32,0x01f,white-cyan,11,y,2
33,0x020,yellow-yellow,46,y,2
34,0x021,pink-pink,19,y,2
35,0x022,purple-purple,25,n,2
36,0x023,darkblue-cyan,33,n,2
37,0x024,purple-purple,25,y,2
38,0x025,pink-silver,15,y,2
39,0x026,red-pink,2,y,2
40,0x027,pink-yellow,16,y,2
41,0x028,red-green,4,y,2
42,0x029,white-pink,9,y,2
43,0x02a,white-pink,9,y,2
44,0x02b,lightgreen-lightgreen,1,y,2
45,0x02c,pink-pink,19,y,2
46,0x02d,purple-purple,25,y,2
47,0x02e,red-red,7,y,2
48,0x02f,pink-silver,15,y,2
49,0x030,white-purple,10,y,2
50,0x031,pink-yellow,16,y,2
51,0x032,white-white,13,y,2
52,0x033,pink-yellow,16,y,2
53,0x034,orange-yellow,26,y,3
54,0x035,pink-yellow,16,y,3
55,0x036,orange-orange,31,y,3
56,0x037,yellow-yellow,46,y,3
57,0x038,red-pink,2,y,3
58,0x039,orange-silver,28,y,3
59,0x03a,pink-red,14,y,3
60,0x03b,lightgreen-lightgreen,1,y,3
61,0x03c,white-purple,10,y,3
62,0x03d,pink-red,14,y,3
63,0x03e,white-white,13,y,3
64,0x03f,white-cyan,11,y,3
65,0x040,orange-yellow,26,y,3
66,0x041,orange-orange,31,y,3
67,0x042,white-red,12,y,3
68,0x043,pink-pink,19,y,3
69,0x044,white-green,8,n,3
70,0x045,red-red,7,y,3
71,0x046,pink-pink,19,y,3
72,0x047,pink-silver,15,y,3
73,0x048,pink-pink,19,y,3
74,0x049,pink-yellow,16,y,3
75,0x04a,red-silver,3,y,3
76,0x04b,pink-silver,15,y,3
77,0x04c,white-pink,9,y,3
78,0x04d,white-white,13,y,3
79,0x04e,white-purple,10,n,4
80,0x04f,purple-purple,25,n,4
81,0x050,white-cyan,11,y,4
82,0x051,white-green,8,y,4
83,0x052,orange-orange,31,y,4
84,0x053,orange-silver,28,y,4
85,0x054,darkblue-orange,35,y,4
86,0x055,orange-orange,31,y,4
87,0x056,yellow-yellow,46,y,4
88,0x057,red-white,6,y,4
89,0x058,orange-orange,31,y,4
90,0x059,red-white,6,y,4
91,0x05a,orange-orange,31,y,4
92,0x05b,red-blue,5,y,4
93,0x05c,white-white,13,y,4
94,0x05d,orange-darkgreen,30,y,4
95,0x05e,yellow-silver,45,n,4
96,0x05f,purple-silver,20,y,4
97,0x060,orange-yellow,26,y,4
98,0x061,white-pink,9,y,4
99,0x062,pink-yellow,16,n,4
100,0x063,pink-yellow,16,y,4
101,0x064,red-blue,5,y,4
102,0x065,pink-red,14,y,4
103,0x066,white-green,8,y,4
104,0x067,red-red,7,y,4
105,0x068,white-red,12,y,4
106,0x069,pink-red,14,y,4
107,0x06a,pink-red,14,n,4
108,0x06b,orange-darkgreen,30,y,4
109,0x06c,lightgreen-lightgreen,1,y,5
110,0x06d,pink-red,14,y,5
111,0x06e,white-purple,10,y,5
112,0x06f,red-green,4,y,5
113,0x070,pink-yellow,16,y,5
114,0x071,red-silver,3,y,5
115,0x072,white-purple,10,y,5
116,0x073,red-green,4,y,5
117,0x074,white-purple,10,y,5
118,0x075,orange-orange,31,y,5
119,0x076,orange-cyan,27,y,5
120,0x077,orange-orange,31,y,5
121,0x078,white-purple,10,y,5
122,0x079,pink-yellow,16,y,5
123,0x07a,pink-red,14,y,5
124,0x07b,white-red,12,y,5
125,0x07c,pink-red,14,y,5
126,0x07d,orange-darkgreen,30,y,5
127,0x07e,white-pink,9,y,5
128,0x07f,orange-orange,31,y,5
129,0x080,lightgreen-lightgreen,1,y,5
130,0x081,white-green,8,y,5
131,0x082,white-cyan,11,y,5
132,0x083,red-red,7,y,5
133,0x084,pink-red,14,y,5
134,0x085,lightgreen-lightgreen,1,y,5
135,0x086,orange-darkgreen,30,n,5
136,0x087,purple-green,24,y,5
137,0x088,red-red,7,y,5
138,0x089,red-pink,2,n,5
139,0x08a,white-cyan,11,y,5
140,0x08b,red-blue,5,y,5
141,0x08c,queen,NA,NA,5
